StoreNumber,StoreName,Manager,Location
1,Walmart Store 1,Robert Davis,San Diego
2,Walmart Store 2,Emily Johnson,Los Angeles
3,Walmart Store 3,Emily Smith,Chicago
4,Walmart Store 4,Emily Doe,New York
5,Walmart Store 5,Emily Johnson,Philadelphia
6,Walmart Store 6,Jane Smith,San Francisco
7,Walmart Store 7,John Johnson,New York
8,Walmart Store 8,Robert Johnson,Los Angeles
9,Walmart Store 9,Jane Brown,San Francisco
10,Walmart Store 10,Robert Doe,New York
11,Walmart Store 11,Jane Brown,Philadelphia
12,Walmart Store 12,Robert Doe,Bloomington
13,Walmart Store 13,Jane Brown,San Francisco
14,Walmart Store 14,John Davis,Houston
15,Walmart Store 15,Emily Brown,Chicago
16,Walmart Store 16,Robert Smith,Bloomington
17,Walmart Store 17,Robert Johnson,Dallas
18,Walmart Store 18,Robert Davis,New York
19,Walmart Store 19,John Johnson,Chicago
20,Walmart Store 20,Emily Davis,San Diego
21,Walmart Store 21,Michael Smith,Chicago
22,Walmart Store 22,Michael Johnson,Los Angeles
23,Walmart Store 23,Michael Doe,Los Angeles
24,Walmart Store 24,Robert Doe,San Francisco
25,Walmart Store 25,John Brown,Bloomington
26,Walmart Store 26,Robert Smith,Houston
27,Walmart Store 27,Emily Smith,Philadelphia
28,Walmart Store 28,Robert Johnson,Philadelphia
29,Walmart Store 29,Robert Davis,New York
30,Walmart Store 30,Emily Doe,Philadelphia
31,Walmart Store 31,Jane Davis,San Antonio
32,Walmart Store 32,John Davis,San Antonio
33,Walmart Store 33,Emily Doe,San Antonio
34,Walmart Store 34,Emily Doe,Houston
35,Walmart Store 35,Emily Brown,New York
36,Walmart Store 36,John Davis,New York
37,Walmart Store 37,John Smith,New York
38,Walmart Store 38,Jane Davis,Chicago
39,Walmart Store 39,Robert Doe,Philadelphia
40,Walmart Store 40,Michael Doe,San Francisco
41,Walmart Store 41,Emily Brown,Houston
42,Walmart Store 42,Robert Davis,San Diego
43,Walmart Store 43,Michael Doe,Philadelphia
44,Walmart Store 44,Jane Johnson,Los Angeles
45,Walmart Store 45,John Doe,Chicago
