Store,Date,Weekly_Sales
1,2010-02-05,1643690.9
1,2010-02-12,1641957.44
1,2010-02-19,1611968.17
1,2010-02-26,1409727.59
1,2010-03-05,1554806.68
1,2010-03-12,1439541.59
1,2010-03-19,1472515.79
1,2010-03-26,1404429.92
1,2010-04-02,1594968.28
1,2010-04-09,1545418.53
1,2010-04-16,1466058.28
1,2010-04-23,1391256.12
1,2010-04-30,1425100.71
1,2010-05-07,1603955.1199999999
1,2010-05-14,1494251.5
1,2010-05-21,1399662.07
1,2010-05-28,1432069.95
1,2010-06-04,1615524.71
1,2010-06-11,1542561.09
1,2010-06-18,1503284.06
1,2010-06-25,1422711.6
1,2010-07-02,1492418.1400000001
1,2010-07-09,1546074.18
1,2010-07-16,1448938.92
1,2010-07-23,1385065.2
1,2010-07-30,1371986.6
1,2010-08-06,1605491.78
1,2010-08-13,1508237.76
1,2010-08-20,1513080.49
1,2010-08-27,1449142.92
1,2010-09-03,1540163.53
1,2010-09-10,1507460.69
1,2010-09-17,1430378.67
1,2010-09-24,1351791.03
1,2010-10-01,1453329.5
1,2010-10-08,1508239.93
1,2010-10-15,1459409.1
1,2010-10-22,1345454.0
1,2010-10-29,1384209.22
1,2010-11-05,1551659.28
1,2010-11-12,1494479.49
1,2010-11-19,1483784.18
1,2010-11-26,1955624.11
1,2010-12-03,1548033.78
1,2010-12-10,1682614.26
1,2010-12-17,1891034.93
1,2010-12-24,2387950.2
1,2010-12-31,1367320.01
1,2011-01-07,1444732.28
1,2011-01-14,1391013.96
1,2011-01-21,1327405.42
1,2011-01-28,1316899.31
1,2011-02-04,1606629.58
1,2011-02-11,1649614.93
1,2011-02-18,1686842.78
1,2011-02-25,1456800.28
1,2011-03-04,1636263.41
1,2011-03-11,1553191.63
1,2011-03-18,1576818.06
1,2011-03-25,1541102.3800000001
1,2011-04-01,1495064.75
1,2011-04-08,1614259.35
1,2011-04-15,1559889.0
1,2011-04-22,1564819.81
1,2011-04-29,1455090.69
1,2011-05-06,1629391.28
1,2011-05-13,1604775.58
1,2011-05-20,1428218.27
1,2011-05-27,1466046.67
1,2011-06-03,1635078.41
1,2011-06-10,1588948.32
1,2011-06-17,1532114.86
1,2011-06-24,1438830.15
1,2011-07-01,1488538.09
1,2011-07-08,1534849.64
1,2011-07-15,1455119.97
1,2011-07-22,1396926.82
1,2011-07-29,1352219.79
1,2011-08-05,1624383.75
1,2011-08-12,1525147.09
1,2011-08-19,1530761.43
1,2011-08-26,1464693.46
1,2011-09-02,1550229.22
1,2011-09-09,1540471.24
1,2011-09-16,1514259.78
1,2011-09-23,1380020.27
1,2011-09-30,1394561.83
1,2011-10-07,1630989.95
